Shipment ID,Container ID,Timestamp,Date,Time,Product Category,Product Name,Vehicle Type,Origin City,Destination City,Transport Mode,Latitude,Longitude,Temperature,Humidity,Battery,Shock,Vibration,Delay Hours,Sensor Status,Weather,Driver ID,Route ID,Trip Distance,Trip Duration,Fuel Consumption
SHP-3845C20AC6FA,CTR-B27402FB27,2026-05-24 01:20:06,2026-05-24,01:20:06,Medicines,Paracetamol Syrup,Refrigerated Truck,Chennai,Kolkata,Road,17.956603,85.039764,-1.06,57.77,77.85,74.97,1.662,1.95,Active,Cold Wave,DRV-5B08DB03,RTE-525984B1,736.7,34.34,150.18
SHP-43671E8B1EC0,CTR-163D349989,2026-07-17 05:20:06,2026-07-17,05:20:06,Vaccines,BCG Vaccine,Cold Storage Container,Coimbatore,Ahmedabad,Rail,16.791071,75.037673,3.49,58.63,69.19,105.05,9.072,1.95,Active,Cold Wave,DRV-C2EB726B,RTE-B2331944,1098.14,30.6,253.9
SHP-177BCE1FEC4A,CTR-FA8ECD7715,2026-06-15 17:19:06,2026-06-15,17:19:06,Seafood,Prawns,Refrigerated Van,Kolkata,Jaipur,Air,24.317753,81.731819,0.32,48.77,65.73,59.91,8.698,2.72,Active,Heatwave,DRV-033B96FF,RTE-F9A2AB91,1615.39,5.49,228.82
SHP-2B54FF4FD032,CTR-A45D68CC48,2026-07-12 13:37:06,2026-07-12,13:37:06,Frozen Foods,Frozen Peas,Refrigerated Van,Hyderabad,Bhopal,Air,19.634144,77.459248,2.81,20.84,82.45,31.85,4.725,32.26,Warning,Cold Wave,DRV-EAD17475,RTE-6DCFFCDD,1815.38,15.91,262.62
SHP-D653F16CF987,CTR-B244B5467E,2026-06-29 15:44:06,2026-06-29,15:44:06,Dairy Products,Milk,Mini Reefer Truck,Durgapur,Gurugram,Road,25.963628,81.893054,3.76,54.44,9.24,279.74,5.756,3.9,Inactive,Clear,DRV-9CBB8BFF,RTE-E5E72AE9,1142.52,25.89,165.82
SHP-21FB2244ABC4,CTR-445E796C8B,2026-07-05 16:24:06,2026-07-05,16:24:06,Seafood,Prawns,Refrigerated Van,Bhubaneswar,Lucknow,Sea,23.826476,83.694883,-0.87,54.0,83.2,292.34,1.403,1.02,Active,Storm,DRV-A5B5A8E2,RTE-00DE2002,2107.15,59.58,338.34
SHP-2F36CBBF5118,CTR-4B2FB17BC4,2026-07-04 13:47:06,2026-07-04,13:47:06,Dairy Products,Butter,Refrigerated Truck,Asansol,Coimbatore,Sea,16.794732,82.077379,-2.26,52.23,76.24,275.56,17.925,3.69,Active,Cloudy,DRV-21E593DF,RTE-BFB8FB00,2023.7,84.52,396.76
SHP-4F25F17871F9,CTR-4DEAF3AD1B,2026-05-31 15:48:06,2026-05-31,15:48:06,Fresh Vegetables,Tomato,Mini Reefer Truck,Asansol,Coimbatore,Air,17.84322,82.704254,-1.08,57.07,72.81,17.73,4.765,3.62,Active,Storm,DRV-8651FA52,RTE-4B3D235E,1871.87,1.0,226.96
SHP-4A0F8413F60D,CTR-7F1190ADCD,2026-06-10 19:33:06,2026-06-10,19:33:06,Frozen Foods,Frozen Pizza,Refrigerated Van,Gurugram,Visakhapatnam,Road,22.542973,79.823694,1.09,36.36,21.62,95.62,17.724,9.94,Warning,Heatwave,DRV-510E409F,RTE-7380B085,735.43,35.24,108.74
SHP-65F1BF4D57FF,CTR-6D668C60FA,2026-06-16 23:36:06,2026-06-16,23:36:06,Fresh Vegetables,Lettuce,Mini Reefer Truck,Kanpur,Jaipur,Rail,27.138206,78.399119,-3.76,87.14,67.99,282.93,5.829,3.96,Warning,Cold Wave,DRV-1D2AEB9D,RTE-932F7B40,1246.4,30.4,162.64
SHP-3610F290D0DC,CTR-B1C1421DBC,2026-06-18 20:21:06,2026-06-18,20:21:06,Fresh Fruits,Grapes,Refrigerated Van,Surat,Guwahati,Road,23.882692,81.926338,5.46,39.65,82.02,51.29,3.167,2.34,Warning,Storm,DRV-68DABA42,RTE-CCC84848,449.25,40.9,85.62
SHP-1C670EAEAAD0,CTR-B0A787F521,2026-05-22 14:36:06,2026-05-22,14:36:06,Ice Cream,Ice Cream,Refrigerated Van,Jaipur,Chandigarh,Sea,28.598028,76.570678,-1.29,55.39,3.42,148.93,12.244,0.34,Inactive,Cold Wave,DRV-CF88E750,RTE-521EA143,1712.74,67.53,286.48
SHP-ABF34B2C0044,CTR-D45EC4A2B1,2026-06-21 18:35:06,2026-06-21,18:35:06,Fresh Fruits,Grapes,Cold Storage Container,Hyderabad,Ranchi,Air,20.095051,81.866076,2.75,37.85,51.35,15.3,6.944,3.33,Active,Cloudy,DRV-F41FD955,RTE-CF27E0E8,1540.52,14.16,341.02
SHP-FCD27982E43C,CTR-DD11B40248,2026-05-29 05:42:06,2026-05-29,05:42:06,Fresh Fruits,Orange,Refrigerated Van,Bhubaneswar,Varanasi,Air,22.719423,84.838827,-15.76,43.3,77.07,190.52,20.0,2.95,Warning,Fog,DRV-93CC9B0E,RTE-EC3E505B,1464.57,6.34,226.21
SHP-8F5F2438EF1A,CTR-71C98C0245,2026-07-03 13:59:06,2026-07-03,13:59:06,Seafood,Fish,Mini Reefer Truck,Chennai,Bhubaneswar,Air,16.668554,82.421732,-4.51,60.92,77.26,57.75,3.098,15.72,Warning,Cold Wave,DRV-292D3CD7,RTE-9837D26A,1711.14,12.85,228.16
SHP-1BCE659EF329,CTR-EAE99F8F68,2026-06-29 23:07:06,2026-06-29,23:07:06,Frozen Foods,Frozen Pizza,Refrigerated Truck,Surat,Siliguri,Rail,24.181533,79.953308,-4.05,48.12,75.52,240.35,12.59,17.63,Warning,Cold Wave,DRV-A07C023B,RTE-A9F0E3C5,938.25,48.38,166.68
SHP-FB880049606C,CTR-F175BDD0F9,2026-07-14 07:58:06,2026-07-14,07:58:06,Medicines,Paracetamol Syrup,Cold Storage Container,Noida,Jaipur,Rail,27.372936,77.11146,-1.98,56.05,74.69,16.59,13.041,1.45,Active,Heatwave,DRV-620A0F21,RTE-E4E7D141,1195.79,65.18,285.6
SHP-56AE07467CBC,CTR-AAE75827EF,2026-07-03 15:59:06,2026-07-03,15:59:06,Ice Cream,Ice Cream,Refrigerated Van,Varanasi,Pune,Sea,22.545075,77.929591,0.59,51.71,66.31,304.32,8.817,24.1,Warning,Fog,DRV-FDBAFD00,RTE-F1C55D73,2396.58,84.15,381.16
SHP-12F0C861C538,CTR-95C3DC8ED6,2026-06-10 23:29:06,2026-06-10,23:29:06,Seafood,Salmon,Refrigerated Van,Jaipur,Siliguri,Road,27.193421,82.30284,-0.43,53.32,33.17,65.92,13.113,2.53,Active,Cloudy,DRV-95518FE8,RTE-FF58730B,697.35,30.76,110.58
SHP-57893108CD0D,CTR-F0DCB754EC,2026-07-17 00:44:06,2026-07-17,00:44:06,Ice Cream,Ice Cream,Mini Reefer Truck,Surat,Lucknow,Road,24.372331,77.516018,-0.77,59.82,69.48,59.11,4.851,19.66,Warning,Fog,DRV-75248590,RTE-0E1B6C7C,791.16,34.56,104.05
SHP-EAE045103329,CTR-D2B8A2E3A7,2026-06-13 15:09:06,2026-06-13,15:09:06,Fresh Vegetables,Lettuce,Cold Storage Container,Chandigarh,Kochi,Road,20.89159,76.733952,-0.11,48.3,64.4,27.61,2.583,3.17,Active,Cold Wave,DRV-9DE4C80F,RTE-123CF1DB,597.99,48.66,132.73
SHP-B757ACF6D7C2,CTR-44A134A395,2026-06-08 12:43:06,2026-06-08,12:43:06,Fresh Vegetables,Tomato,Refrigerated Van,Bengaluru,Asansol,Rail,18.828528,82.416041,0.49,37.18,66.41,85.79,3.411,0.75,Active,Fog,DRV-AED2F753,RTE-5A01C3C6,1320.84,44.94,185.27
SHP-040508C7E55F,CTR-FF7AE11957,2026-07-13 07:30:06,2026-07-13,07:30:06,Frozen Foods,Frozen Pizza,Refrigerated Truck,Noida,Kanpur,Air,27.92342,78.401867,-6.06,44.22,93.24,93.19,5.532,9.06,Warning,Fog,DRV-925E1BD9,RTE-9EC9490A,1660.43,12.23,298.27
SHP-FA0FCAC4D557,CTR-08A1F614E5,2026-06-11 04:59:06,2026-06-11,04:59:06,Seafood,Prawns,Insulated Container,Chandigarh,Bhopal,Sea,26.25525,76.712986,1.7,53.97,50.05,163.87,9.135,0.0,Active,Cloudy,DRV-66E7EED5,RTE-26115FD6,2379.96,58.56,397.28
SHP-B9B4DB3FEF7E,CTR-4A69026EF2,2026-05-24 13:28:06,2026-05-24,13:28:06,Fresh Fruits,Apple,Refrigerated Truck,Kolkata,Ranchi,Sea,23.588727,86.900233,1.59,52.85,28.0,43.41,2.746,23.65,Warning,Cloudy,DRV-20C89966,RTE-995ABC0D,2163.58,71.42,402.89
SHP-05988664B085,CTR-22796D7FB2,2026-06-17 03:41:06,2026-06-17,03:41:06,Medicines,Insulin,Refrigerated Van,Patna,Indore,Rail,24.403103,79.935463,0.92,38.72,50.69,102.07,4.04,0.66,Active,Cold Wave,DRV-357F7A0E,RTE-23D03E6F,1255.91,41.72,192.19
SHP-4A6F433A9279,CTR-72CDF29078,2026-07-06 17:18:06,2026-07-06,17:18:06,Seafood,Prawns,Refrigerated Truck,Gurugram,Bengaluru,Rail,20.543547,77.9369,4.9,44.78,68.76,56.87,2.942,19.33,Warning,Cold Wave,DRV-DC5B75DB,RTE-BD1F2AB4,475.02,37.18,104.76
SHP-95316AE6C190,CTR-FCD131BA49,2026-05-31 08:22:06,2026-05-31,08:22:06,Vaccines,BCG Vaccine,Cold Storage Container,Guwahati,Kolkata,Air,24.501911,90.621513,0.71,45.81,65.01,13.22,10.282,3.19,Active,Heatwave,DRV-F9130B8C,RTE-32526CCE,1484.74,10.64,323.95
SHP-D9FDBAB26492,CTR-09D505F432,2026-06-16 18:10:06,2026-06-16,18:10:06,Fresh Fruits,Apple,Refrigerated Van,Jaipur,Asansol,Air,24.71291,81.387947,4.88,47.37,0.0,192.17,17.632,24.02,Warning,Fog,DRV-B86F5903,RTE-7EAA7B9D,1920.94,15.83,306.47
SHP-327D02353BA9,CTR-689B6EDE91,2026-05-27 18:37:06,2026-05-27,18:37:06,Fresh Vegetables,Potato,Mini Reefer Truck,Asansol,Kochi,Rail,16.152986,81.408335,-0.21,40.09,74.47,275.73,2.203,0.67,Active,Cloudy,DRV-C7DD6509,RTE-26B10893,1120.38,47.68,140.09
SHP-98CEF011ED4B,CTR-6CDB2471D4,2026-06-30 04:03:06,2026-06-30,04:03:06,Frozen Foods,Frozen Pizza,Cold Storage Container,Mumbai,Kanpur,Sea,21.979897,76.187009,-0.74,59.49,65.63,55.25,7.863,2.5,Active,Storm,DRV-494EDD9E,RTE-1B8FA2DF,2476.05,66.1,579.46
SHP-46616DF88955,CTR-4CE8AC7538,2026-06-17 12:32:06,2026-06-17,12:32:06,Medicines,Paracetamol Syrup,Refrigerated Truck,Jaipur,Kanpur,Air,27.42355,78.830565,-1.81,43.34,45.86,230.3,11.174,34.7,Warning,Storm,DRV-1BA270A8,RTE-0B5A86A8,1464.93,1.0,273.58
SHP-9CB7AF1C64C5,CTR-68984D14F2,2026-06-08 19:00:06,2026-06-08,19:00:06,Seafood,Fish,Refrigerated Van,Coimbatore,Bhubaneswar,Air,15.951109,81.80168,-2.48,74.86,79.66,204.22,4.523,35.14,Warning,Rain,DRV-F95BD96F,RTE-2AD1FD30,1854.73,13.92,284.08
SHP-589A9E0FFBED,CTR-E60BC6C615,2026-06-02 14:16:06,2026-06-02,14:16:06,Fresh Fruits,Apple,Cold Storage Container,Indore,Nagpur,Sea,21.357293,76.927706,-7.71,68.16,86.5,26.95,1.482,4.18,Warning,Rain,DRV-31E1BD39,RTE-883E962E,2023.12,70.86,445.88
SHP-31E3D78B16F2,CTR-FC89B53FDE,2026-06-22 20:24:06,2026-06-22,20:24:06,Seafood,Fish,Refrigerated Truck,Visakhapatnam,Ranchi,Air,20.621622,84.36935,-2.13,48.95,87.14,143.45,12.167,21.37,Warning,Clear,DRV-DB96E287,RTE-06EC0D6D,1627.41,7.49,299.85
SHP-D0623BAA781C,CTR-AE200A03F7,2026-06-29 04:03:06,2026-06-29,04:03:06,Bakery Products,Bread,Refrigerated Van,Mumbai,Bhopal,Sea,21.763462,74.579068,-0.17,58.54,74.13,17.17,1.389,7.95,Warning,Storm,DRV-D4A67544,RTE-C43B38D8,2066.38,65.46,286.85
SHP-E81415967FA7,CTR-6F45D4FCC1,2026-07-15 09:34:06,2026-07-15,09:34:06,Fresh Vegetables,Potato,Insulated Container,Durgapur,Bhopal,Road,23.757657,83.06338,0.8,51.01,70.53,259.22,14.616,3.75,Active,Cold Wave,DRV-064D11DD,RTE-7C25DABF,934.74,32.42,187.83
SHP-5A033F20455D,CTR-2A7BF2EAD1,2026-06-15 05:01:06,2026-06-15,05:01:06,Fresh Vegetables,Lettuce,Reefer Trailer,Siliguri,Lucknow,Air,26.051572,85.098056,1.36,44.12,85.27,6.49,2.888,2.35,Active,Cloudy,DRV-E28DDD44,RTE-F2B83F0D,1386.56,1.0,274.44
